category,age,name
Новорожденные,Первые 24 часа жизни,Первая вакцинация против вирусного гепатита В
Новорожденные,на 3-7 день жизни,Вакцинация против туберкулеза
Дети,1 месяц,Вторая вакцинация против вирусного гепатита В
Дети,2 месяца ,Третья вакцинация против вирусного гепатита В (группы риска)
Дети,2 месяца ,Первая вакцинация против пневмококковой инфекции
Дети,3 месяца,"Первая вакцинация против дифтерии,коклюша, столбняка"
Дети,3 месяца,Первая вакцинация против полиомиелита
Дети,3 месяца,Первая вакцинация против гемофильной инфекции (группы риска)
Дети,"4,5 месяцев","Вторая вакцинация против дифтерии, коклюша, столбняка"
Дети,"4,5 месяцев",Вторая вакцинация против гемофильной инфекции (группы риска)
Дети,"4,5 месяцев",Вторая вакцинация против полиомиелита
Дети,"4,5 месяцев",Вторая вакцинация против пневмококковой инфекции
Дети,6 месяцев,"Третья вакцинация против дифтерии, коклюша, столбняка"
Дети,6 месяцев,Третья вакцинация против вирусного гепатита В
Дети,6 месяцев,Третья вакцинация против полиомиелита
Дети,6 месяцев,Третья вакцинация против гемофильной инфекции (группа риска)
Дети,12 месяцев,"Вакцинация против кори, краснухи, эпидемического паротита"
Дети,12 месяцев,Четвертая вакцинация против вирусного гепатита В (группы риска)
Дети,15 месяцев ,Ревакцинация против пневмококковой инфекции
Дети,18 месяцев,Первая ревакцинация против полиомиелита
Дети,18 месяцев,"Первая ревакцинация против дифтерии, коклюша, столбняка"
Дети,18 месяцев,Ревакцинация против гемофильной инфекции (группы риска)
Дети,20 месяцев,Вторая ревакцинация против полиомиелита
Дети,6 лет,"Ревакцинация против кори, краснухи, эпидемического паротита"
Дети,6-7 лет,"Вторая ревакцинация против дифтерии, столбняка"
Дети,6-7 лет,Ревакцинация против туберкулеза
Дети,14 лет,"Третья ревакцинация против дифтерии, столбняка"
Дети,14 лет,Третья ревакцинация против полиомиелита
Дети не привитые ранее притив вирусного гепатита В,от 1 года до 18 лет,Вакцинация против вирусного гепатита В
"Дети не болевшие краснухой, не привитые ранее",от 1 года до 18 лет (включительно),"Вакцинация против краснухи, ревакцинация против краснухи"
Дети привитые однократно против краснухи,от 1 года до 18 лет (включительно),"Вакцинация против краснухи, ревакцинация против краснухи"
Дети не имеющие сведений о прививках против краснухи,от 1 года до 18 лет (включительно),"Вакцинация против краснухи, ревакцинация против краснухи"
Взрослые ,от 18 лет,"Ревакцинация против дифтерии, столбняка - каждые 10 лет от момента последней ревакцинации"
Взрослые не привитые ранее против вирусного гепатита В,от 18 до 55 лет,Вакцинация против вирусного гепатита В
"Женщины не болевшие краснухой, не привитые ранее ",от 18 до 25 лет,"Вакцинация против краснухи, ревакцинация против краснухи"
Женщины привитые однократно против краснухи,от 18 до 25 лет,"Вакцинация против краснухи, ревакцинация против краснухи"
Женщины не имеющие сведений о прививках против краснухи,от 18 до 25 лет,"Вакцинация против краснухи, ревакцинация против краснухи"
Дети,от 1 года до 18 лет (включительно),"Вакцинация против кори, ревакцинация против кори"
"Взрослые не болевшие ранее корью, не привитые",до 35 лет,"Вакцинация против кори, ревакцинация против кори"
Взрослые привитые однократно против кори,до 35 лет,"Вакцинация против кори, ревакцинация против кори"
Взрослые не имеющие сведений о прививках против кори,до 35 лет,"Вакцинация против кори, ревакцинация против кори"
"Взрослые, относящиеся к группам риска (работники медицинских и образовательных организаций, организаций торговли, транспорта, коммунальной и социальной сферы; лица, работающие вахтовым методом, и сотрудники государственных контрольных органов в пунктах пропуска через государственную границу Российской Федерации)"," от 36 до 55 лет (включительно)
","Вакцинация против кори, ревакцинация против кори"
"Взрослые не не болевшие ранее корью, не привитые"," от 36 до 55 лет (включительно)
","Вакцинация против кори, ревакцинация против кори"
Взрослые привитые однократно против кори," от 36 до 55 лет (включительно)
","Вакцинация против кори, ревакцинация против кори"
Взрослые не имеющие сведений о прививках против кори," от 36 до 55 лет (включительно)
","Вакцинация против кори, ревакцинация против кори"
Дети,с 6 месяцев,Вакцинация против гриппа
Дети учащиеся 1-11 классов,,Вакцинация против гриппа
Дети обучающиеся в профессиональных образовательных организациях и образовательных организациях высшего образования,,Вакцинация против гриппа
"Взрослые, работающие по отдельным профессиям и должностям (работники медицинских и образовательных организаций, транспорта, коммунальной сферы)",,Вакцинация против гриппа
беременные женщины,,Вакцинация против гриппа
Взрослые,старше 60 лет,Вакцинация против гриппа
"лица, подлежащие призыву на военную службу",,Вакцинация против гриппа
"лица с хроническими заболеваниями, в том числе с заболеванием легких, сердечно-сосудистыми заболеваниями, метаболическими нарушениями и ожирением  ",,Вакцинация против гриппа
