Вакансия,Зарплата,Сайт,Работодатель,Город и время публикации,Зарплата от,Зарплата до
Data Scientist,По договорённости,https://russia.superjob.ru//vakansii/data-scientist-39246943.html?search_id=418eec88-28e0-11ec-b437-d61de74747d0&vacancyShouldHighlight=true,Сбербанк России,11:15 • Екатеринбург,NaN,NaN
Middle Data Scientist,от 104 000 руб./месяц,https://russia.superjob.ru//vakansii/middle-data-scientist-39413965.html?search_id=418eec88-28e0-11ec-b437-d61de74747d0&vacancyShouldHighlight=true,Автоматизация и консалтинг,7 октября • Москва,['104\xa0000'],NaN
ML engineer / Data scientist,По договорённости,https://russia.superjob.ru//vakansii/ml-engineer-39385628.html,Brightlab,6 октября • Ростов-на-Дону,NaN,NaN
Программист / Data scientist,По договорённости,https://russia.superjob.ru//vakansii/programmist-39070105.html,ПРОИНВЕСТЛАЙН,"5 октября • Москва, Новослободская",NaN,NaN
Data Scientist (Отдел аудита обеспечивающих процессов),По договорённости,https://russia.superjob.ru//vakansii/data-scientist-39162234.html,Сбербанк России,8:30 • Екатеринбург,NaN,NaN
Аналитик данных (Data Scientist),По договорённости,https://russia.superjob.ru//vakansii/analitik-dannyh-39045736.html,Сбербанк России,6:45 • Хабаровск,NaN,NaN
Data scientist,По договорённости,https://russia.superjob.ru//vakansii/data-scientist-39145947.html,Сбербанк России,"Вчера • Москва, Тульская и ещё 2 станции",NaN,NaN
Senior Data Scientist,По договорённости,https://russia.superjob.ru//vakansii/senior-data-scientist-39219435.html,Сбербанк России,Вчера • Сочи,NaN,NaN
Jr. Data Scientist,По договорённости,https://russia.superjob.ru//vakansii/jr-39335225.html,Сбербанк России,Вчера • Екатеринбург,NaN,NaN
Senior Data Scientist,от 174 000 руб./месяц,https://russia.superjob.ru//vakansii/senior-data-scientist-39414124.html,Автоматизация и консалтинг,7 октября • Москва,['174\xa0000'],NaN
Lead data analyst / Product owner (Analytics Team),370 000 — 460 000 руб./месяц,https://russia.superjob.ru//vakansii/lead-data-analyst-39323216.html,Semrush,"Вчера • Санкт-Петербург, Московские Ворота",['370\xa0000'],['460\xa0000']
Senior Python Developer / Data Engineer,до 300 000 руб./месяц,https://russia.superjob.ru//vakansii/senior-python-developer-39416755.html,Национальный исследовательский университет Высшая школа экономики,7 октября • Москва,NaN,['300\xa0000']
Junior data analytic,По договорённости,https://russia.superjob.ru//vakansii/junior-data-analytic-39261261.html,Технопарк «Сколково»,3 октября • Санкт-Петербург,NaN,NaN
Java Software Engineer Middle,По договорённости,https://russia.superjob.ru//vakansii/java-software-engineer-middle-39016252.html,Intempt Technologies,Вчера • Москва,NaN,NaN
BI-аналитик (удаленно / офис),до 150 000 руб./месяц,https://russia.superjob.ru//vakansii/bi-analitik-39338168.html,Консалтинговая компания,Вчера • Санкт-Петербург,NaN,['150\xa0000']
Менеджер продукта,По договорённости,https://russia.superjob.ru//vakansii/menedzher-produkta-36566553.html,SuperJob,"Вчера • Москва, Тверская и ещё 2 станции",NaN,NaN
QA-engineer / WEB-developer,100 000 руб./месяц,https://russia.superjob.ru//vakansii/qa-engineer-39168872.html,Perfect Systems,Вчера • Москва,['100\xa0000'],[]
Frontend-разработчик (Middle),до 150 000 руб./месяц,https://russia.superjob.ru//vakansii/frontend-razrabotchik-38996599.html,Сима-ленд,Вчера • Екатеринбург,NaN,['150\xa0000']
Специалист по обработке данных (Аналитик данных),от 100 000 руб./месяц,https://russia.superjob.ru//vakansii/specialist-po-obrabotke-dannyh-38606438.html,"ФБГУ ""НМИЦ онкологии им. Н. Н. Петрова"" Минздрава России",6 октября • Санкт-Петербург,['100\xa0000'],NaN
Разработчик Python,240 000 — 300 000 руб./месяц,https://russia.superjob.ru//vakansii/razrabotchik-python-39276300.html,1ceo,4 октября • Москва,['240\xa0000'],['300\xa0000']
Системный аналитик (СберИнвестор),По договорённости,https://russia.superjob.ru//vakansii/sistemnyj-analitik-39359465.html,Сбербанк России,12:15 • Зеленоград,NaN,NaN
DevOps-инженер,По договорённости,https://russia.superjob.ru//vakansii/devops-inzhener-39418405.html,BrightLab,7 октября • Ростов-на-Дону,NaN,NaN
Старший разработчик MS SQL + C#.net,до 210 000 руб./месяц,https://russia.superjob.ru//vakansii/starshij-razrabotchik-ms-sql-39416489.html,Консалтинговая компания,7 октября • Новосибирск,NaN,['210\xa0000']
JavaScript (React) разработчик,до 220 000 руб./месяц,https://russia.superjob.ru//vakansii/javascript-39036222.html,Эрис,4 октября • Омск,NaN,['220\xa0000']
